episode,return_sum,return_mean,reward_a0,reward_a1,reward_a2,steps,msgs_per_ep,msg_entropy_ep,pct_comm_on,avg_pair_dist
1,-128.76084827115542,-43.45093479676568,-45.75807080951276,-43.146485883063505,-45.687129597969616,100,26,0.8182258934975277,0.4567429192409378,1.0914068223034892
2,-128.10213806863896,-44.860441191598674,-44.83752797913123,-44.30721110798267,-43.803530318029686,100,58,0.6235188711429006,0.31185335082025034,1.1532966359306978
3,-128.11871064390778,-44.83865783041469,-42.3639114089133,-41.82053790450686,-41.371557290247644,100,28,0.5015888251179345,0.44173411255969414,1.3385272915011948
4,-127.37448374595802,-44.26440575598265,-45.18626209731412,-40.958959719328455,-41.64248249666162,100,24,0.8324179391565214,0.31842493013332085,1.4558980281546723
5,-135.5479111232539,-43.88524424196315,-46.564592790722486,-46.73340317855795,-41.01470958920329,100,51,0.818089566669367,0.2397237704972572,1.0123470848283527
6,-131.11874703186936,-44.37833696241417,-43.684213565338204,-41.556392487308344,-42.45647207585643,100,54,0.5501227462331464,0.3936788563928498,1.4882839655046385
7,-135.29137103595508,-41.96801452483638,-45.224308720287844,-41.57135869370244,-43.55169322393177,100,57,1.0173894819533023,0.4996926452851217,1.2748496158202418
8,-131.95037529048216,-44.28300719149356,-45.536794586107604,-43.88155756356915,-42.33283188936673,100,58,0.8801399957579703,0.44338586856159856,1.2880173557865673
9,-129.6859897940398,-45.60731222394699,-41.190602753179,-45.098110552620064,-43.27402153055731,100,28,0.8214279682027841,0.4462295686475231,1.1994472139597978
10,-128.74934991028604,-42.98687965746254,-41.81430091609519,-43.338062987323184,-46.20189309185344,100,39,1.0714761591656785,0.2891182359614426,1.1117835162573897
11,-134.14959232688238,-42.89700485215222,-43.19017956342796,-40.875803523231355,-41.19233049688229,100,55,0.7287094223574103,0.32496104238878465,1.0820429234110316
12,-134.9232645011007,-43.892772456803506,-41.6935691795569,-44.039673605257946,-43.194445466122346,100,45,1.0966721454311905,0.49448922967360354,1.3838044980948407
13,-132.40024867545793,-44.44677543002405,-45.25174298472914,-45.163529395982955,-42.36965268581004,100,59,0.512739031888114,0.3390637678479314,1.13091622567187
14,-132.1040209172346,-45.00551020196193,-44.39666776263697,-42.397141952385994,-43.550957720123165,100,42,0.5906545077244193,0.3449192256557608,1.2154438237428604
15,-134.65375299421513,-44.50516447942511,-44.339447764187895,-45.66970031386095,-42.813359571663526,100,28,1.035710040256054,0.3061055386583747,1.0070009016674968
16,-128.0335542092483,-43.37948260620855,-43.882837268915836,-42.83607729502809,-43.74920628585388,100,57,1.0568418066655387,0.2273042391807284,1.4859531760381077
17,-133.69898255408341,-42.679124651250405,-43.40986697752969,-44.99261865610543,-46.14674589387802,100,23,0.5782245355010395,0.36492016593711096,1.2469420187098748
18,-135.83088055775875,-43.49419782399449,-44.38686836556806,-42.465759319090665,-43.88970340108002,100,47,0.5018828427065973,0.2715042092533451,1.3503391996608123
19,-134.3866304457006,-44.11124048648468,-44.19913550580378,-43.20366336731288,-43.84544816753189,100,36,0.5788752368117049,0.28320282980834544,1.4816122600813713
20,-133.00801247095677,-43.98300200606223,-41.00887042671309,-42.72045790220228,-41.24436173480706,100,32,0.6125845060979491,0.21213905002623115,1.0515536891930843
21,-127.80854686814826,-41.96954804447637,-42.33852685080386,-44.262034003189406,-40.91046983366102,100,33,0.7171719276990692,0.29374066771778795,1.0602247431543388
22,-136.15525276783444,-42.40810630880986,-46.82367571129361,-41.938430318406205,-46.642508393007624,100,39,0.990164536180556,0.20186908256341352,1.4272613190109391
23,-127.06424600278254,-43.492687430632266,-42.43705692313828,-42.83406370178684,-42.75075531864358,100,37,1.0947602157765386,0.4313009468526824,1.3345875345732612
24,-135.00830163249316,-43.21896165614983,-42.41112941572096,-41.11416424149711,-42.23988945882415,100,55,0.8128587050844445,0.3610020969897546,1.327583432858649
25,-134.4105457891619,-43.84119123859768,-41.7279060567672,-42.22190080762866,-44.44581552249256,100,58,0.8794432609033895,0.23643516281609644,1.2587838441416161
26,-130.20407169863998,-43.58081172536976,-43.221495863021254,-45.55629997379153,-43.278107065888335,100,33,0.7743408901197635,0.21303257079928611,1.1251213246254135
27,-127.06809518771867,-44.78659603263119,-46.47302839211812,-45.67993071518438,-41.438733435547306,100,43,0.7650815231190825,0.30435404291108004,1.120297580250547
